"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"			
//	Раздел I						ПРИНЯТЫЕ ОБОЗНАЧЕНИЯ:	
ЗадолжКон	ЗадолжКон		Е					
ЗадолжНач	ЗадолжНач		Е					
КВыплатеПФДо2011	КВыплатеПФДо2011		Е				Вариант заполнения (графа 6),  может принимать значения:	
КВыплатеФССБезработицаДо2011	КВыплатеФССБезработицаДо2011		Е					1 - не заполнять автоматически;
КВыплатеФССДо2011	КВыплатеФССДо2011		Е					2 - изменять автоматически заполненное значение;
КВыплатеФССНесчастныйСлучайДо2011	КВыплатеФССНесчастныйСлучайДо2011		Е					3 -заполнять автоматически без корректировки.
НатурФорма	НатурФорма		Е					
П1	П1		Е		4		Тип данных (графа 4) показателя, может принимать значения:	
П1_1	П1_1		Е					Е - денежный показатель с регулируемой размерностью ;
П1_2	П1_2		Е					
П1_4	П1_4		Е					Ч -число с неизменяемой размерностью;
П1_4_1	П1_4_1		Е					Д - дата.
П1_5	П1_5							
П1_3	П1_3		Е					
П2	П2		Е		4			
П2_1	П2_1		Е		4			
П2_1_1	П2_1_1		Е				Признак многострочности принимает значение:	
П2_1_2	П2_1_2		Е					
П2_1_3	П2_1_3		Е					
П2_1_4	П2_1_4		Е					
П2_1_5	П2_1_5		Е					
П2_1_6	П2_1_6		Е					
П2_1_7	П2_1_7		Е					
П2_2	П2_2		Е		4			
П2_2_1	П2_2_1		Е					
П2_2_2	П2_2_2		Е					
П2_2_3	П2_2_3		Е					
П2_3	П2_3		Е		4			
П2_3_1	П2_3_1		Е					
П2_3_2	П2_3_2		Е					
П2_3_3	П2_3_3		Е					
П2_3_4	П2_3_4		Е					
П2_4	П2_4		Е		4			
П2_4_1	П2_4_1		Е					
П2_4_2	П2_4_2		Е					
П2_4_3	П2_4_3		Е					
П2_4_4	П2_4_4		Е					
П3	П3		Е		4			
П3_1	П3_1		Е		4			
